text,top_class,hate_speech,offensive_language,neither
ceezRare,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezVote ceezVote ceezVote ceezVote ceezVote ceezVote,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
YASSSS,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
WAS WAITING FOR U PAP,neither,0.03177570196677801,0.2953841467602447,0.6728401512729771
ceezWW ceezWW ceezWW ceezWW ceezWW ceezWW ceezWW ceezWW ceezWW,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"mechchabi01 subscribed with Twitch Prime. They've subscribed for 16 months, currently on a 16 month streak! Hola",neither,0.022656730762885817,0.33032574087259975,0.6470175283645144
ghulInteresting ghulInteresting ghulInteresting ghulInteresting ghulInteresting ghulInteresting ghulInteresting ghulInteresting ghulInteresting,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
YOOOOOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LETS GOOO BABYYYY,neither,0.03868305123800957,0.34344766577192837,0.6178692829900622
I made it,neither,0.03684238675525566,0.33127406936755094,0.6318835438771935
Yasssss,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
[ + ],neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BEST STREAMER OF ALL TIME,neither,0.038754926052636626,0.4421130611911066,0.5191320127562569
My family,neither,0.023537569138289402,0.46124080853802574,0.5152216223236848
Hey,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezGU @Viewage_Bot,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
non stop manifest,neither,0.03941247149683716,0.4281091089063932,0.5324784195967696
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Bout to slump maneeeeeee,neither,0.04408360399284968,0.46982804127835615,0.48608835472879414
wassu,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
eyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hey pap,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hiiiiiiiiiiiiiiii,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yoooooooooooooooooooooooooooooooooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!schedule,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ceez doesn't have a schedule so there is no dedicated time of starting or ending. If you want to stay updated with his status then follow him on twitter https://twitter.com/CDNThe3rd,offensive_language,0.0432516607742967,0.4855908944934634,0.4711574447322398
Yo yo yo,offensive_language,0.04010381111145228,0.5271105317972344,0.4327856570913131
RUIZ REPRESENTING MEXICOOOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Lets go,neither,0.039984317429425154,0.35542799280679366,0.6045876897637812
follow me,neither,0.028208014111334813,0.39368852158520395,0.5781034643034612
Time for the percolator,neither,0.027692313955077152,0.296149662814114,0.6761580232308088
Noti gang,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ayyyyyyyyyyyyy,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezMani ceezFest ceezMani ceezFest ceezMani ceezFest ceezMani ceezFest ceezMani ceezFest ceezMani ceezFest ceezMani ceezFest,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Play fortnite PLEASE🙏🏻🙏🏻🙏🏻,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!uptime,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hype,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Redacted_27 subscribed at Tier 3. They've subscribed for 38 months! Sku sku,neither,0.02109000908695625,0.3145445573895783,0.6643654335234654
cmonBruh cmonBruh cmonBruh cmonBruh ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yerrrrrrr,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
nice nice nice,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
